import torch
# Fichier audio d'émotions pour le slot 53
# Données de test pour vérifier l'affichage
sad: 0.29552504420280457
hap: 0.17338941991329193
neu: 0.5953349471092224
sad: 0.3633459508419037
hap: 0.039948638528585434
sad: 0.9546849131584167
hap: 0.023374462500214577
neu: 0.018089953809976578
sad: 0.5556544065475464
neu: 0.38791900873184204
hap: 0.05426367372274399
sad: 0.720887303352356
neu: 0.18601031601428986
hap: 0.09251676499843597
sad: 0.9332765340805054
neu: 0.06019360572099686
hap: 0.006474998313933611
sad: 0.609146237373352
neu: 0.35874438285827637
hap: 0.032086022198200226
sad: 0.7948687672615051
neu: 0.14200598001480103
hap: 0.05875330790877342
sad: 0.8539814949035645
neu: 0.11861009895801544
hap: 0.026735393330454826
sad: 0.7814376354217529
neu: 0.17960551381111145
hap: 0.03574788197875023
neu: 0.8103605508804321
sad: 0.13639257848262787
hap: 0.04840833693742752
sad: 0.6359066963195801
hap: 0.3120572566986084
neu: 0.04758312180638313
sad: 0.8759641051292419
neu: 0.05990532413125038
hap: 0.05515974387526512
sad: 0.5475882291793823
hap: 0.37974828481674194
neu: 0.04613286256790161
sad: 0.8314763903617859
neu: 0.1086832731962204
hap: 0.054192934185266495
sad: 0.593471348285675
hap: 0.23051275312900543
neu: 0.1668919026851654
hap: 0.8286594748497009
sad: 0.0870698019862175
neu: 0.04609231650829315
hap: 0.7495250701904297
sad: 0.1694956123828888
neu: 0.056319527328014374
sad: 0.8419943451881409
hap: 0.08881790190935135
neu: 0.06847080588340759
sad: 0.47525763511657715
neu: 0.34388765692710876
ang: 0.1017794981598854
neu: 0.5177190899848938
sad: 0.4777897894382477
hap: 0.0044422694481909275
neu: 0.7511084079742432
sad: 0.13813737034797668
hap: 0.10964580625295639
sad: 0.6316296458244324
neu: 0.19130654633045197
hap: 0.17652805149555206
neu: 0.815085232257843
sad: 0.12523899972438812
hap: 0.056795962154865265
neu: 0.5481343269348145
hap: 0.2855457067489624
sad: 0.15156938135623932
sad: 0.4318500757217407
neu: 0.3578892648220062
hap: 0.20327116549015045
sad: 0.44080424308776855
neu: 0.3820160925388336
hap: 0.17696911096572876
neu: 0.5956881046295166
hap: 0.21124713122844696
ang: 0.13414078950881958
neu: 0.5036634206771851
hap: 0.280884712934494
sad: 0.20691946148872375
hap: 0.6020703911781311
sad: 0.2502307593822479
neu: 0.14663749933242798
sad: 0.7034177184104919
hap: 0.18760496377944946
neu: 0.1024656817317009
sad: 0.637852132320404
hap: 0.2629973590373993
neu: 0.09774331748485565
sad: 0.4429078698158264
hap: 0.4198663830757141
neu: 0.13370072841644287
sad: 0.9184810519218445
neu: 0.06691666692495346
hap: 0.014390230178833008
sad: 0.6320812106132507
neu: 0.2659326493740082
hap: 0.10169536620378494
sad: 0.8700277805328369
hap: 0.07343705743551254
neu: 0.0525674931704998
neu: 0.4771687090396881
sad: 0.385542094707489
hap: 0.12161081284284592
hap: 0.7667821049690247
sad: 0.1819087117910385
neu: 0.04971420019865036
sad: 0.7403206825256348
hap: 0.18064729869365692
neu: 0.07803841680288315
neu: 0.6423919796943665
ang: 0.16550816595554352
hap: 0.14774326980113983
neu: 0.7970548868179321
sad: 0.130126953125
hap: 0.06422461569309235
sad: 0.514323353767395
hap: 0.3798867464065552
neu: 0.06567833572626114
neu: 0.517248809337616
hap: 0.24768809974193573
sad: 0.2327798753976822
neu: 0.5792734026908875
hap: 0.30672687292099
sad: 0.10961921513080597
hap: 0.6249683499336243
sad: 0.2370946705341339
ang: 0.0846099779009819
sad: 0.6422050595283508
hap: 0.3314727246761322
neu: 0.025866463780403137
neu: 0.3786175549030304
hap: 0.34817010164260864
sad: 0.21425104141235352
sad: 0.5604868531227112
neu: 0.39667919278144836
hap: 0.04272928833961487
neu: 0.566514790058136
sad: 0.4141853451728821
hap: 0.014848880469799042
neu: 0.6376272439956665
sad: 0.19129914045333862
hap: 0.170170858502388
sad: 0.7021900415420532
neu: 0.21982036530971527
hap: 0.0776597410440445
hap: 0.4812164902687073
neu: 0.26963287591934204
sad: 0.2424166351556778
sad: 0.7235562801361084
neu: 0.2168930023908615
hap: 0.054304394870996475
neu: 0.6813119053840637
sad: 0.30554699897766113
hap: 0.012999103404581547
neu: 0.6835641264915466
sad: 0.2574673295021057
hap: 0.05866333469748497
neu: 0.5169286727905273
sad: 0.452565461397171
hap: 0.030467888340353966
sad: 0.5717111229896545
hap: 0.22645318508148193
neu: 0.1811702400445938
sad: 0.5995820164680481
hap: 0.23721735179424286
neu: 0.15758618712425232
neu: 0.5324224233627319
sad: 0.3374424874782562
ang: 0.06822509318590164
sad: 0.6968097686767578
hap: 0.20687799155712128
neu: 0.05619463697075844
sad: 0.6968004703521729
neu: 0.20834019780158997
hap: 0.090937539935112
